====== Exif Identifiers ======

^Exif Identifier^Type^Description^
 | exif_active_area | TEXT | exif tag Active Area |
 | exif_afcp__iptc | TEXT | exif tag AFCP_ IPTC |
 | exif_alias_layer_metadata | TEXT | exif tag Alias Layer Metadata |
 | exif_alpha_byte_count | TEXT | exif tag Alpha Byte Count |
 | exif_alpha_data_discard | TEXT | exif tag Alpha Data Discard |
 | exif_alpha_offset | TEXT | exif tag Alpha Offset |
 | exif_analog_balance | TEXT | exif tag Analog Balance |
 | exif_annotations | TEXT | exif tag Annotations |
 | exif_anti_alias_strength | TEXT | exif tag Anti Alias Strength |
 | exif_aperture_value | TEXT | exif tag Aperture Value |
 | exif_application_notes | TEXT | exif tag Application Notes |
 | exif_artist | TEXT | exif tag Artist |
 | exif_as_shot_iccprofile | TEXT | exif tag As Shot ICCProfile |
 | exif_as_shot_neutral | TEXT | exif tag As Shot Neutral |
 | exif_as_shot_pre_profile_matrix | TEXT | exif tag As Shot Pre Profile Matrix |
 | exif_as_shot_white_xy | TEXT | exif tag As Shot White XY |
 | exif_background_color_indicator | TEXT | exif tag Background Color Indicator |
 | exif_background_color_value | TEXT | exif tag Background Color Value |
 | exif_bad_fax_lines | TEXT | exif tag Bad Fax Lines |
 | exif_baseline_exposure | TEXT | exif tag Baseline Exposure |
 | exif_baseline_noise | TEXT | exif tag Baseline Noise |
 | exif_baseline_sharpness | TEXT | exif tag Baseline Sharpness |
 | exif_battery_level | TEXT | exif tag Battery Level |
 | exif_bayer_green_split | TEXT | exif tag Bayer Green Split |
 | exif_best_quality_scale | TEXT | exif tag Best Quality Scale |
 | exif_bits_per_extended_run_length | TEXT | exif tag Bits Per Extended Run Length |
 | exif_bits_per_run_length | TEXT | exif tag Bits Per Run Length |
 | exif_bits_per_sample | TEXT | exif tag Bits Per Sample |
 | exif_black_level | TEXT | exif tag Black Level |
 | exif_black_level_delta_h | TEXT | exif tag Black Level Delta H |
 | exif_black_level_delta_v | TEXT | exif tag Black Level Delta V |
 | exif_black_level_repeat_dim | TEXT | exif tag Black Level Repeat Dim |
 | exif_brightness | TEXT | exif tag Brightness |
 | exif_brightness_value | TEXT | exif tag Brightness Value |
 | exif_calibration_illuminant_1 | TEXT | exif tag Calibration Illuminant 1 |
 | exif_calibration_illuminant_2 | TEXT | exif tag Calibration Illuminant 2 |
 | exif_camera_calibration_1 | TEXT | exif tag Camera Calibration 1 |
 | exif_camera_calibration_2 | TEXT | exif tag Camera Calibration 2 |
 | exif_camera_serial_number | TEXT | exif tag Camera Serial Number |
 | exif_cell_length | TEXT | exif tag Cell Length |
 | exif_cell_width | TEXT | exif tag Cell Width |
 | exif_cfalayout | TEXT | exif tag CFALayout |
 | exif_cfapattern | TEXT | exif tag CFAPattern |
 | exif_cfapattern_2 | TEXT | exif tag CFAPattern 2 |
 | exif_cfaplane_color | TEXT | exif tag CFAPlane Color |
 | exif_cfarepeat_pattern_dim | TEXT | exif tag CFARepeat Pattern Dim |
 | exif_chroma_blur_radius | TEXT | exif tag Chroma Blur Radius |
 | exif_clean_fax_data | TEXT | exif tag Clean Fax Data |
 | exif_clip_path | TEXT | exif tag Clip Path |
 | exif_coding_methods | TEXT | exif tag Coding Methods |
 | exif_color_characterization | TEXT | exif tag Color Characterization |
 | exif_color_map | TEXT | exif tag Color Map |
 | exif_color_matrix_1 | TEXT | exif tag Color Matrix 1 |
 | exif_color_matrix_2 | TEXT | exif tag Color Matrix 2 |
 | exif_color_response_unit | TEXT | exif tag Color Response Unit |
 | exif_color_sequence | TEXT | exif tag Color Sequence |
 | exif_color_space | TEXT | exif tag Color Space |
 | exif_color_table | TEXT | exif tag Color Table |
 | exif_components_configuration | TEXT | exif tag Components Configuration |
 | exif_compressed_bits_per_pixel | TEXT | exif tag Compressed Bits Per Pixel |
 | exif_compression | TEXT | exif tag Compression |
 | exif_consecutive_bad_fax_lines | TEXT | exif tag Consecutive Bad Fax Lines |
 | exif_contrast | TEXT | exif tag Contrast |
 | exif_converter | TEXT | exif tag Converter |
 | exif_copyright | TEXT | exif tag Copyright |
 | exif_create_date | DATE | exif tag Create Date |
